Noun,Count
woke,16
experience,2051
music,424
pay,903
advantage,187
room,12456
morning,1939
hotel,14892
night,5382
location,7521
distance,1461
people,3008
check,1137
bath,727
view,2674
size,1459
valet,281
deal,870
parking,335
evening,251
stay,5480
sound,136
way,2405
service,5129
look,596
water,2026
light,185
play,103
cover,51
bed,1594
unit,103
car,1064
party,436
thermostat,19
spent,157
space,822
footage,3
happen,12
yep,9
channel,56
price,2591
housekeeping,93
arrange,59
person,798
weekend,1109
tub,370
suite,630
tip,307
touch,208
waiting,9
use,1198
blue,65
bottle,198
champagne,249
choice,1216
box,133
driver,171
downside,148
change,532
desk,2067
guidance,13
drop,112
gesture,29
concierge,715
try,761
impression,165
dock,27
voucher,18
rest,397
chore,6
mediterranean,6
non,40
book,1008
work,936
bathroom,3446
face,136
goldfish,2
personality,30
time,4875
lobby,1591
downtown,209
chain,267
pet,13
area,3403
hair,161
staff,10382
mix,63
color,39
stroll,101
wireless,171
print,60
wine,473
rock,93
turn,233
game,125
language,211
coffee,1397
ass,2
priceless,5
complain,186
walk,2140
dog,55
knock,29
problem,1704
mind,449
realize,41
police,89
cell,63
head,312
charge,633
phone,483
downfall,23
package,330
funny,10
buddy,3
house,573
place,4279
street,2303
plan,362
presence,31
stadium,41
thing,1447
laughing,3
floor,2855
issue,379
answer,89
city,2680
family,1272
speak,181
taxi,593
recommend,721
fact,728
homeless,26
company,225
doorman,89
return,923
access,1196
stomach,67
glass,433
food,4216
reception,1277
word,227
art,183
afternoon,458
husband,1388
talk,136
opinion,240
industry,29
caution,54
server,22
reason,358
renovation,143
monte,9
table,135
wedding,95
friend,314
restaurant,2326
dogs,49
couple,868
mighty,3
metal,34
capital,28
design,289
patron,7
shopping,732
nights,3423
plenty,635
chance,245
seating,19
spread,77
market,608
museum,286
business,1151
comparison,98
dank,5
noise,1027
clothing,22
cozy,123
job,335
office,202
storage,124
trip,2780
building,699
notch,70
alley,29
mono,2
needs,370
employee,79
reflection,22
walking,129
hour,1009
guess,249
pioneer,20
home,1063
quality,937
advice,304
rail,64
feel,801
men,140
door,1368
maid,140
instance,37
bell,138
block,628
nearby,4
store,366
secure,76
bravo,17
today,61
sturdiness,1
cruise,312
curtain,91
charm,152
smart,11
average,201
value,1752
league,9
wife,1040
shop,386
nothing,1467
exercise,80
coast,47
treadmill,14
tasty,47
days,2058
sam,8
hall,151
pocket,30
group,526
th,1086
convenient,656
concert,31
panel,38
cheery,17
fun,726
credit,237
day,4437
week,1543
card,378
clerk,163
pick,200
airport,1305
heavy,6
bellhop,21
dollar,137
tap,39
leopard,4
robe,36
complaint,463
quick,61
center,705
supervisor,20
blood,24
bag,111
oil,18
somebody,33
park,764
management,355
anybody,66
manager,627
tone,24
remind,9
help,896
fine,186
rude,155
sent,30
pull,33
gift,136
key,127
downstairs,219
paper,189
lotion,40
wait,583
life,361
ask,555
spa,358
number,473
suitcase,58
man,249
kind,622
customer,380
player,124
breakfast,5611
spending,186
beautiful,345
member,285
prompt,40
television,126
line,631
program,65
loyalty,7
machine,230
quirky,12
tomorrow,30
bummer,11
competition,24
lot,1449
wall,365
fog,5
comfort,229
crackers,25
chair,225
scope,4
rip,49
base,262
horn,3
colors,36
mattress,127
visit,1131
bar,2546
town,803
plate,62
foot,154
bring,253
throw,44
don,52
wont,45
tourist,526
make,270
trust,70
care,511
bit,1766
gold,74
luggage,584
year,1217
rate,1156
w,115
neighborhood,260
test,13
stand,67
fish,40
labor,32
afford,62
blanket,51
surprise,287
indulgence,11
option,235
cab,341
district,439
king,253
visitor,45
helicopter,25
dine,26
reference,10
st,449
tour,409
salty,12
project,11
end,809
result,63
site,599
ambulance,7
trucks,29
plane,100
elevator,387
lounge,649
lever,2
pool,2599
proposition,5
property,711
fitness,140
drab,12
sauna,86
quaint,84
basement,84
star,1099
outrage,2
palace,357
grocery,98
ran,21
nice,252
hope,199
ate,445
printer,42
times,1643
kitchen,253
cooler,45
hesitate,151
variety,433
meal,342
polite,87
heart,459
terminal,34
opposite,10
travel,691
level,443
agency,50
intruder,1
air,984
window,518
conditioner,113
order,503
personnel,107
sleep,300
availability,49
san,114
cleanliness,171
ralph,2
needle,15
unpleasant,1
reality,57
sample,30
balcony,633
money,1693
terrific,138
pike,23
disappointment,153
ironwork,1
cloudy,9
hidden,24
inch,16
bay,165
union,339
patio,114
weather,329
ledge,12
neat,39
let,415
hassle,63
drive,191
comfy,284
reservation,529
figure,113
attempt,41
course,571
leg,37
research,129
consideration,35
bus,1019
garage,176
spouse,17
confirmation,83
disappoint,47
ferry,107
shuttle,294
absolute,48
gem,266
clean,689
step,117
offer,359
satisfy,14
dont,249
facility,158
gym,304
radius,7
lake,25
pizza,127
maker,126
bedding,38
request,341
shower,1018
facet,2
guarantee,43
note,346
wire,8
sign,207
upholstery,3
conservation,2
fit,60
ice,227
drain,52
hand,328
marble,50
march,245
cut,72
opener,11
range,213
helpfulness,9
courtesy,62
rating,264
hostel,62
flip,10
dirty,246
worse,25
carpet,245
shag,3
stop,324
type,232
movie,78
dingy,36
station,1821
hertz,6
love,257
version,33
discount,133
flow,18
ride,420
owner,135
map,96
advisor,276
train,702
budget,388
wake,76
spend,123
response,86
clock,82
mention,310
interview,1
threadbare,8
moron,2
conversation,65
pressure,270
lack,245
cable,326
condition,148
baseball,20
cost,691
character,111
reviewer,94
vacation,1153
idea,264
watch,297
mean,54
believe,12
corner,725
x,66
come,103
run,138
motel,119
none,326
sleeping,19
la,441
dinner,1065
excellent,598
inn,317
immaculate,119
exit,72
easter,43
assume,9
shea,1
lots,1004
island,365
chocolate,199
brunch,16
groom,4
cute,62
bride,8
hit,32
stone,68
spot,347
honeymoon,407
reserve,91
amy,1
steer,8
deck,71
monorail,47
duck,40
claim,45
biz,6
avoid,124
furniture,361
wynn,1
date,99
stuff,225
pub,55
rabbit,6
slept,67
add,41
hutch,1
length,51
list,167
flight,611
code,47
drunken,5
bland,54
spotless,255
bet,39
eat,882
woman,180
future,128
beat,187
upstairs,26
hospitality,147
genuine,10
duty,95
contact,120
matter,261
month,255
bedroom,529
eye,75
enter,60
rarity,13
smile,145
manner,49
celebrate,72
attention,270
scratches,9
birthday,236
fresh,6
tolerance,7
race,18
rainy,23
facing,29
courtyard,267
bonus,194
vineyard,1
roof,177
perfect,384
miss,103
purchase,67
count,60
terrace,313
breath,51
glasses,102
state,193
world,660
beware,166
page,20
tell,216
piles,5
dealt,34
tea,461
style,593
decent,172
hear,120
fan,186
drunk,32
zone,35
feed,16
meter,20
solution,24
dorm,16
juice,304
happening,2
saw,110
ace,7
drug,23
noisy,155
compromise,11
conclusion,44
mildew,46
sink,162
bakery,47
sorry,88
simplicity,4
vinyl,3
fare,111
tidy,137
cardiac,1
rocket,6
glory,6
occasion,99
roll,41
muffin,8
authority,13
apathy,1
arrive,10
hospital,58
rectangle,2
spring,91
break,371
plaza,325
arrival,407
clam,3
salad,53
lunch,471
chowder,9
example,185
spinach,5
buffet,1397
crab,15
salmon,9
girl,108
award,11
intercontinental,19
regard,22
kit,31
clue,18
shaft,21
priority,52
waterfront,52
gown,2
poster,39
catch,139
think,262
tray,37
mishap,7
guard,27
security,249
club,663
anniversary,42
luxury,447
switch,67
holiday,622
plain,41
helpful,604
aid,6
lavender,4
spray,83
convention,133
conference,207
fruit,565
coupon,20
minute,1011
road,713
atmosphere,36
university,48
escape,54
review,467
skip,31
executive,258
mornings,140
nonsmoking,33
smoker,17
reward,13
rule,21
news,73
consider,62
garbage,50
disturb,55
baby,88
imagine,119
advance,192
case,304
cigarette,72
addition,194
smoking,138
health,68
smell,302
discover,26
clothes,178
compensation,34
concern,85
daughter,317
tag,23
soap,120
freeway,8
flower,37
weed,4
son,272
mask,7
garden,310
entrance,272
linen,53
lady,124
expectation,36
queen,73
responsive,8
science,16
streets,299
fee,175
toilet,408
stuck,10
term,26
roominess,2
temperature,151
period,104
square,546
amusement,4
ceiling,240
closet,218
apartment,169
traffic,361
bellboy,20
lodgings,2
stairway,5
kitchenette,70
proximity,168
ideal,228
bacon,105
supermarket,129
welcome,93
prepare,33
operation,21
point,486
wote,1
effort,127
notice,103
rhe,1
reply,18
practice,33
bargain,167
sleeper,58
iron,140
smack,16
shabby,53
board,171
guy,242
odor,48
nasty,2
rotten,2
start,286
insulation,21
express,103
cold,131
yes,260
studio,63
mid,50
dump,73
thought,122
gather,11
medium,23
trickle,8
individuality,1
heck,11
adequate,92
older,14
standard,467
firm,71
mirror,105
elegance,56
fall,78
accommodation,138
junior,27
fixture,14
grace,38
wash,52
patience,35
arena,17
definition,6
sitting,7
edge,73
sense,120
sad,10
shut,47
basket,59
min,338
meet,166
guest,183
living,153
restriction,1
preference,30
colleague,25
reach,90
receptionist,146
age,164
schedule,59
awhile,5
intention,15
fi,15
rep,66
recommendation,159
event,85
selection,541
elegant,14
transportation,242
uphill,6
shape,89
cancellation,35
mercer,4
pleasant,262
funky,64
carry,34
bellman,73
entertainment,529
history,103
advise,90
appreciate,39
brand,162
enjoy,454
mother,86
sofa,140
sit,330
sides,50
wet,54
nightcap,10
winner,30
armchair,9
delightful,18
cocktail,113
arrangement,30
pop,48
posh,17
truth,32
privacy,122
form,54
surface,23
invitation,6
host,52
cycle,9
opera,120
mall,206
court,102
share,173
deluxe,130
dark,171
season,142
rent,131
peninsula,31
attitude,155
need,461
seedy,20
modernization,2
traveler,143
getaway,132
information,292
bob,15
right,278
pastry,45
accident,17
bathtub,108
i,43
furnace,4
paint,86
hoof,3
coat,29
shampoo,68
faucet,8
agent,184
pass,187
energy,53
winter,80
scare,6
hell,64
undies,1
cool,177
jerk,2
splurge,41
summer,217
jog,5
pillow,44
twice,28
heat,183
towel,148
yeah,25
pier,49
ship,73
downhill,14
refrigerator,146
drink,421
traveller,114
pearl,12
fiance,60
warn,18
transit,41
arm,30
avail,21
agreement,17
maintenance,97
radio,58
cake,84
situation,171
drawback,95
breeze,121
creamery,1
reunion,22
hold,46
stretch,36
flavor,27
era,14
cream,90
dull,14
attraction,49
cider,4
pipe,10
pretty,54
duration,33
jaunt,4
know,32
gurgle,1
wasnt,76
suit,104
sports,132
enquire,4
roomy,82
fancy,57
telephone,67
prefer,34
section,168
theater,63
tax,128
delivery,48
lift,168
lock,70
apologize,5
devoid,2
setup,31
majority,82
picture,110
punishment,4
decline,4
jewelry,20
underpants,1
network,31
simple,51
complete,4
canada,61
search,54
sister,116
wave,5
basis,101
transport,237
fix,72
quite,21
racket,9
pacific,28
loud,46
exact,4
plumbing,23
feeling,87
appearance,31
mobility,14
hill,102
maneuver,4
prison,17
gauntlet,3
