Noun,Count
woke,16
doors,435
experience,2051
music,424
pillows,260
reviews,2249
pay,903
advantage,187
heard,224
room,12456
products,162
morning,1939
hotel,14892
night,5382
location,7521
closing,34
distance,1461
neighbors,59
people,3008
check,1137
bath,727
view,2674
size,1459
bangs,2
valet,281
deal,870
parking,335
evening,251
stay,5480
amenities,588
sound,136
way,2405
ipod,34
jacuzi,8
service,5129
look,596
maintainence,4
jets,30
water,2026
light,185
play,103
cover,51
bed,1594
unit,103
car,1064
settings,13
forgottenthe,2
party,436
thermostat,19
spent,157
space,822
footage,3
facilities,765
happen,12
yep,9
tv,1315
channel,56
price,2591
housekeeping,93
arrange,59
person,798
weekend,1109
tub,370
requeststv,1
suite,630
accessories,15
tip,307
touch,208
waiting,9
use,1198
rooms,7337
monaco,15
blue,65
bottle,198
wakeup,25
champagne,249
choice,1216
box,133
driver,171
downside,148
change,532
desk,2067
degrees,67
guidance,13
drop,112
gesture,29
staffnegatives,2
concierge,715
try,761
impression,165
nt,2642
dock,27
voucher,18
rest,397
chore,6
mediterranean,6
non,40
book,1008
work,936
bathroom,3446
face,136
goldfish,2
personality,30
time,4875
laptops,10
smells,50
lobby,1591
downtown,209
bathrobes,39
chain,267
pet,13
coffeetea,30
area,3403
hair,161
staff,10382
mix,63
color,39
palatte,1
stars,289
stroll,101
wireless,171
pattens,1
print,60
wine,473
curtains,132
rock,93
signs,96
turn,233
game,125
language,211
bernard,3
coffee,1397
ass,2
priceless,5
complain,186
hotels,2757
walk,2140
dog,55
screams,2
knock,29
problem,1704
mind,449
deals,73
realize,41
police,89
lights,210
entrances,9
activities,397
bucks,99
cell,63
head,312
miles,121
charge,633
phone,483
downfall,23
package,330
funny,10
buddy,3
house,573
place,4279
vouchers,36
street,2303
plan,362
websites,23
presence,31
stadium,41
shops,614
girlfriend,107
besite,1
thing,1447
promply,1
laughing,3
arabic,1
floor,2855
issue,379
answer,89
city,2680
family,1272
speak,181
taxi,593
recommend,721
christmas,131
fact,728
homeless,26
company,225
doorman,89
comments,277
return,923
access,1196
stomach,67
glass,433
food,4216
reception,1277
fixtures,67
word,227
art,183
afternoon,458
husband,1388
talk,136
drinks,1118
opinion,240
problems,883
industry,29
emotions,2
caution,54
server,22
reason,358
renovation,143
monte,9
carlos,38
cookies,142
table,135
wedding,95
booths,6
friend,314
passes,65
internet,1230
restaurant,2326
dogs,49
couple,868
inches,28
mighty,3
companions,9
metal,34
capital,28
design,289
patron,7
shopping,732
requests,154
nights,3423
plenty,635
carlo,13
january,29
chance,245
seating,19
spread,77
market,608
museum,286
business,1151
comparison,98
dank,5
noise,1027
clothing,22
areas,735
cozy,123
job,335
proportions,3
options,275
ridewe,1
office,202
storage,124
trip,2780
building,699
notch,70
alley,29
midsection,1
mono,2
quickley,1
needs,370
employee,79
sheets,321
reflection,22
walking,129
hour,1009
guess,249
pioneer,20
homegreat,1
home,1063
resturants,118
quality,937
advice,304
rail,64
feel,801
men,140
door,1368
maid,140
staffwe,9
instance,37
bell,138
block,628
nearby,4
everytime,39
store,366
secure,76
bravo,17
travelers,245
today,61
sturdiness,1
cruise,312
things,1276
mom,61
curtain,91
charm,152
smart,11
ppmarket,1
restaurants,2968
guests,1001
july,221
average,201
qualitywise,1
value,1752
league,9
wife,1040
marriott,242
suites,340
shop,386
nothing,1467
exercise,80
coast,47
pointsmiles,1
treadmill,14
tasty,47
hilton,345
days,2058
kimpton,27
sam,8
hall,151
pocket,30
group,526
receptions,11
th,1086
bathrooms,662
vibe,32
beds,1728
convenient,656
concert,31
panel,38
cheery,17
weekthe,4
benaroya,1
fun,726
attractions,598
credit,237
day,4437
minutes,2064
phonecalls,3
bags,383
week,1543
card,378
clerk,163
pick,200
airport,1305
heavy,6
bellhop,21
dollar,137
tap,39
lenora,1
leopard,4
robe,36
wifi,140
complaint,463
quick,61
center,705
touches,191
supervisor,20
blood,24
bag,111
hours,1064
pm,560
rd,262
oil,18
somebody,33
maids,140
charges,173
park,764
monday,39
management,355
anybody,66
manager,627
tone,24
remind,9
help,896
fine,186
rude,155
sent,30
pull,33
ones,354
gift,136
drops,20
key,127
downstairs,219
paper,189
lotion,40
wait,583
life,361
ask,555
spa,358
didn,57
number,473
suitcase,58
man,249
kind,622
checkout,250
customer,380
player,124
breakfast,5611
standards,479
ethernet,15
spending,186
chairs,461
bikes,54
sazerac,2
beautiful,345
dvd,103
kittycorner,2
cities,119
member,285
viewing,3
prompt,40
highspeed,9
dvdcd,3
properties,118
television,126
line,631
program,65
machines,156
screens,31
loyalty,7
cardio,20
machine,230
quirky,12
tomorrow,30
recommendations,289
seattle,167
bummer,11
competition,24
lot,1449
hopes,23
wall,365
pipes,20
hmmmmm,1
creamers,3
fog,5
comfort,229
crackers,25
features,83
chair,225
walls,423
furnishings,220
posters,31
packages,23
scope,4
rip,49
base,262
comforters,26
horn,3
colors,36
mattress,127
visit,1131
bar,2546
town,803
plate,62
foot,154
bring,253
twoperson,2
throw,44
don,52
wont,45
tourist,526
make,270
trust,70
airporter,2
care,511
aspects,58
bit,1766
jacuzzi,192
gold,74
luggage,584
year,1217
companyservice,1
emp,2
rate,1156
flinchgym,1
w,115
towels,922
neighborhood,260
test,13
stand,67
dumbbells,2
fish,40
labor,32
afford,62
blanket,51
points,281
surprise,287
indulgence,11
option,235
aveda,33
cab,341
funi,2
bedlinens,1
district,439
king,253
visitor,45
helicopter,25
dine,26
reference,10
seats,75
services,307
st,449
online,127
ammenities,59
rates,352
reservations,678
mt,8
tour,409
salty,12
project,11
checking,52
prices,664
end,809
result,63
site,599
ambulance,7
sirens,29
trucks,29
plane,100
hoping,4
checkbox,1
elevator,387
engines,6
units,35
floors,431
sleeps,9
roomsif,3
lounge,649
lever,2
women,144
warwick,5
expectations,430
dollars,235
pool,2599
proposition,5
property,711
views,926
fourstar,7
fitness,140
drab,12
sauna,86
quaint,84
basement,84
blocks,641
nightlife,51
star,1099
outrage,2
barrestaurant,11
panaroma,1
buildings,242
classify,4
palace,357
computers,127
availablei,2
grocery,98
ran,21
nice,252
marketon,1
handyoverall,1
hope,199
years,772
storeminimart,1
servicewe,7
friendlywe,15
ate,445
printer,42
times,1643
kitchen,253
cooler,45
tripwe,2
hesitate,151
variety,433
loveseat,9
weights,35
areahotel,1
diners,20
alot,214
meal,342
thereoverall,3
polite,87
buses,204
pikes,15
heart,459
terminal,34
opposite,10
travel,691
makerparking,1
centre,524
level,443
agency,50
intruder,1
dissapointment,16
complaints,445
air,984
window,518
conditioner,113
order,503
personnel,107
sleep,300
availability,49
san,114
andra,17
cleanliness,171
ralph,2
needle,15
unpleasant,1
diego,6
reality,57
sample,30
balcony,633
inchesthe,1
money,1693
stains,65
terrific,138
pike,23
snacks,317
disappointment,153
ironwork,1
cloudy,9
hidden,24
inch,16
clouds,10
bay,165
union,339
patio,114
weather,329
elliott,6
ledge,12
neat,39
let,415
hassle,63
drive,191
therewe,7
comfy,284
reservation,529
mayflower,7
figure,113
attempt,41
course,571
leg,37
research,129
consideration,35
stairs,211
bus,1019
garage,176
spouse,17
confirmation,83
disappoint,47
toiletries,323
penninsula,3
ferry,107
shuttle,294
concierges,33
drivers,125
convenientwould,2
absolute,48
gem,266
clean,689
balconies,94
families,247
steps,244
step,117
offer,359
satisfy,14
dont,249
facility,158
nordstroms,2
macy,22
gym,304
yikes,11
radius,7
lake,25
pizza,127
cinerama,1
maker,126
bedding,38
request,341
shower,1018
facet,2
stairwells,4
guarantee,43
note,346
mats,15
wire,8
holes,42
sign,207
upholstery,3
conservation,2
fit,60
ice,227
needsattention,1
drain,52
carpets,111
hand,328
marble,50
towers,60
movies,68
march,245
shocks,3
cut,72
opener,11
holidays,71
range,213
prevents,2
helpfulness,9
meals,350
courtesy,62
rating,264
hostel,62
wallit,1
flip,10
dirty,246
worse,25
cringeshe,1
austin,4
carpet,245
shag,3
stop,324
powers,2
flops,12
daythe,17
nicer,178
type,232
movie,78
dingy,36
committing,1
station,1821
ac,202
hertz,6
love,257
version,33
aaa,16
discount,133
flow,18
ride,420
owner,135
map,96
requestedit,1
advisor,276
heads,64
train,702
budget,388
wake,76
spend,123
response,86
clock,82
mention,310
interview,1
threadbare,8
moron,2
portland,5
conversation,65
pressure,270
amtrak,2
lack,245
cable,326
games,91
condition,148
baseball,20
cost,691
character,111
dinners,81
reviewer,94
flowers,184
roomlocation,3
vacation,1153
travelodge,21
idea,264
watch,297
flaws,18
mean,54
spots,126
believe,12
corner,725
x,66
come,103
run,138
motel,119
none,326
sleeping,19
la,441
dinner,1065
excellent,598
inn,317
coutyard,4
seattlewent,1
immaculate,119
accomodating,11
bacco,3
exit,72
welcomingour,2
easter,43
stairwell,15
assume,9
chez,18
shea,1
lots,1004
etta,2
watermarket,1
island,365
chocolate,199
brunch,16
offers,252
viewsa,1
groom,4
cute,62
sandwiches,69
bride,8
hit,32
stone,68
spot,347
strawberries,39
honeymoon,407
vancouver,11
reserve,91
amy,1
steer,8
deck,71
kids,737
monorail,47
starbucks,159
duck,40
tours,201
sits,34
folks,143
claim,45
feels,111
biz,6
hk,84
avoid,124
furniture,361
standalone,2
macau,5
wynn,1
plugs,55
issues,277
travellers,201
windows,537
doughnuts,8
desks,16
fax,30
date,99
coverings,5
stuff,225
nyc,111
pub,55
rabbit,6
slept,67
pictures,192
add,41
kells,1
hutch,1
length,51
list,167
bars,673
flight,611
code,47
drunken,5
bland,54
spotless,255
transcon,1
okay,153
ratings,45
canlis,1
bet,39
eat,882
woman,180
staying,20
future,128
beat,187
rooftop,96
upstairs,26
mountains,30
hospitality,147
feet,201
genuine,10
duty,95
contact,120
places,1154
matter,261
month,255
bedroom,529
eye,75
enter,60
rarity,13
smile,145
levels,85
linens,109
manner,49
celebrate,72
attention,270
regards,39
maintainance,5
scratches,9
birthday,236
fresh,6
cracks,17
tolerance,7
race,18
tourists,260
rainy,23
facing,29
courtyard,267
bonus,194
hyatt,107
vineyard,1
conceirge,40
roof,177
perfect,384
excursions,137
trips,285
miss,103
purchase,67
count,60
ships,21
terrace,313
breath,51
glasses,102
state,193
world,660
decor,570
roomservice,17
lacks,23
planning,103
robes,76
costs,190
beware,166
page,20
puget,4
roommates,1
tell,216
piles,5
dealt,34
loadingdelivery,1
tea,461
style,593
decent,172
hear,120
fan,186
drunk,32
apples,54
zone,35
feed,16
meter,20
fairey,1
solution,24
dorm,16
waffles,64
shepard,1
juice,304
yogurt,78
magazines,25
earplugs,53
bb,38
happening,2
saw,110
ace,7
impressions,44
drug,23
friends,689
noisy,155
compromise,11
conclusion,44
mildew,46
sink,162
grunge,3
nightsta,1
showers,171
cyclops,2
bakery,47
granola,4
toofor,1
sorry,88
wtih,1
foodies,2
simplicity,4
checkin,381
macrina,3
vinyl,3
fare,111
tidy,137
cardiac,1
viewbut,2
downtownif,1
marketpike,1
tons,125
baths,46
zoe,3
rocket,6
glory,6
occasion,99
punches,3
roll,41
muffin,8
sorrys,1
authority,13
friday,57
apathy,1
hangs,2
arrive,10
employees,241
shapethe,1
blankets,53
